date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-12-31,NORMAL,dynamic,2014-12-31,0.0016935925097002,0.0323288683247294,1.8735013540549514e-16,0.0,4.0939474033052647e-16,2.0816681711721685e-17,0.0,2.0816681711721685e-17,7.63278329429795e-17,0.0,0.0,0.9999999999999986,1.5959455978986623e-16,0.0,1.0408340855860844e-16,4.8572257327350605e-17,2.0816681711721685e-17,0.0,1.3183898417423734e-16,4.8572257327350605e-17,0.0,7.63278329429795e-17,0.0,7.63278329429795e-17,4.8572257327350605e-17,2.0816681711721685e-17,2.0816681711721685e-17,6.730727086790012e-16,2.983724378680108e-16,7.63278329429795e-17,0.9999999999999987,1.0408340855860844e-16,6.938893903907228e-17,4.163336342344337e-17
2015-01-30,NORMAL,dynamic,2014-12-31,0.0016935925097002,0.0323288683247294,1.8735013540549514e-16,0.0,4.0939474033052647e-16,2.0816681711721685e-17,0.0,2.0816681711721685e-17,7.63278329429795e-17,0.0,0.0,0.9999999999999986,1.5959455978986623e-16,0.0,1.0408340855860844e-16,4.8572257327350605e-17,2.0816681711721685e-17,0.0,1.3183898417423734e-16,4.8572257327350605e-17,0.0,7.63278329429795e-17,0.0,7.63278329429795e-17,4.8572257327350605e-17,2.0816681711721685e-17,2.0816681711721685e-17,6.730727086790012e-16,2.983724378680108e-16,7.63278329429795e-17,0.9999999999999987,1.0408340855860844e-16,6.938893903907228e-17,4.163336342344337e-17
2015-02-27,CALM,dynamic,2015-01-31,0.0017375403807466,0.0318718017005697,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-03-31,NORMAL,dynamic,2015-03-31,0.0017375403807466,0.0318718017005697,0.0,1.0755285551056204e-15,0.0,2.983724378680108e-16,2.42861286636753e-16,3.538835890992686e-16,7.63278329429795e-17,2.0816681711721685e-17,2.983724378680108e-16,0.9999999999999968,0.0,0.0,0.0,7.63278329429795e-17,2.0816681711721685e-17,2.0816681711721685e-17,0.0,2.0816681711721685e-17,1.3183898417423734e-16,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,4.8572257327350605e-17,4.649058915617843e-16,7.63278329429795e-17,1.1171619185290638e-15,1.0685896612017132e-15,3.95516952522712e-16,0.9999999999999968,0.0,1.1796119636642288e-16,5.412337245047638e-16
2015-04-30,CALM,dynamic,2015-04-30,0.0016095740552827,0.0300751456248308,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-05-29,CALM,dynamic,2015-04-30,0.0016095740552827,0.0300751456248308,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-06-30,NORMAL,dynamic,2015-06-30,0.0016095740552827,0.0300751456248308,0.0,0.0,0.0,7.63278329429795e-17,2.983724378680108e-16,0.0,0.0,0.0,2.983724378680108e-16,0.9999999999999974,0.0,1.3183898417423734e-16,0.0,2.983724378680108e-16,2.0816681711721685e-17,2.0816681711721685e-17,4.649058915617843e-16,0.0,7.63278329429795e-17,0.0,3.538835890992686e-16,1.3183898417423734e-16,2.0816681711721685e-17,0.0,3.538835890992686e-16,3.538835890992686e-16,1.0477729794899915e-15,2.983724378680108e-16,0.9999999999999976,0.0,3.400058012914542e-16,3.538835890992686e-16
2015-07-31,CALM,dynamic,2015-07-31,0.0014361601080656,0.026406255384565,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-08-31,STRESS,dynamic,2015-08-31,0.0014361601080656,0.026406255384565,7.63278329429795e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63278329429795e-17,0.0,0.0,1.0,0.0,0.0,0.0
2015-09-30,NORMAL,dynamic,2015-09-30,0.0014361601080656,0.026406255384565,4.0939474033052647e-16,2.42861286636753e-16,2.983724378680108e-16,2.1510571102112408e-16,2.983724378680108e-16,0.0,7.63278329429795e-17,2.983724378680108e-16,1.8735013540549514e-16,0.9999999999999956,1.8735013540549514e-16,2.42861286636753e-16,2.0816681711721685e-17,3.538835890992686e-16,4.0939474033052647e-16,2.42861286636753e-16,2.706168622523819e-16,7.63278329429795e-17,7.63278329429795e-17,7.63278329429795e-17,7.63278329429795e-17,7.63278329429795e-17,1.0408340855860844e-16,1.3183898417423734e-16,2.0816681711721685e-17,1.1032841307212493e-15,1.0130785099704553e-15,5.620504062164855e-16,0.9999999999999961,2.0816681711721685e-17,1.0061396160665481e-15,1.5265566588595902e-16
