date,regime,weights_mode,effective_from,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2015-01-30,NORMAL,dynamic,2014-12-31,0.0,0.01,0.0,0.0,3.739309043780796e-17,2.9688058240706746e-17,0.1505752458257482,0.0,0.0,5.799165580285216e-17,0.0,0.7551355612328501,0.0,1.8368623791375306e-17,0.0,0.0,1.28100318682056e-16,2.8460482287761525e-17,0.0942891929414014,0.0,3.9245137870320634e-19,6.469115685567972e-18,0.0,0.0,0.0,0.0,4.7773080132460024e-17,4.386220612337593e-17,0.2448644387671496,5.799165580285216e-17,0.7551355612328501,0.0,1.5656080096981751e-16,4.7773080132460024e-17
2015-02-27,CALM,dynamic,2015-01-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-03-31,NORMAL,dynamic,2015-03-31,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.147060721024445e-16,0.0,0.9999999999999992,0.0,1.3183898417423734e-16,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,7.147060721024445e-16,0.9999999999999993,0.0,0.0,0.0
2015-04-30,CALM,dynamic,2015-04-30,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-05-29,CALM,dynamic,2015-04-30,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-06-30,NORMAL,dynamic,2015-06-30,0.0,0.01,4.0939474033052647e-16,0.0,0.0,2.0816681711721685e-17,1.0408340855860844e-16,3.538835890992686e-16,2.0816681711721685e-17,7.63278329429795e-17,1.3183898417423734e-16,0.9999999999999968,1.0408340855860844e-16,0.0,7.63278329429795e-17,7.63278329429795e-17,1.8735013540549514e-16,5.759281940243001e-16,0.0,0.0,1.5959455978986623e-16,1.3183898417423734e-16,7.63278329429795e-17,1.3183898417423734e-16,2.42861286636753e-16,2.42861286636753e-16,7.63278329429795e-17,6.175615574477433e-16,7.7021722333370235e-16,2.2898349882893854e-16,0.9999999999999971,7.63278329429795e-17,8.396061623727746e-16,3.191891195797325e-16
2015-07-31,CALM,dynamic,2015-07-31,0.0,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.28,0.12,0.16,0.04,0.12,0.08
2015-08-31,STRESS,dynamic,2015-08-31,0.0,0.01,2.983724378680108e-16,1.0408340855860844e-16,2.42861286636753e-16,0.0,0.0,0.0,1.0408340855860844e-16,7.63278329429795e-17,0.0,0.999999999999998,2.42861286636753e-16,2.0816681711721685e-17,3.538835890992686e-16,7.63278329429795e-17,4.8572257327350605e-17,1.0408340855860844e-16,7.63278329429795e-17,0.0,0.0,0.0,7.63278329429795e-17,4.8572257327350605e-17,0.0,1.5959455978986623e-16,0.0,7.216449660063518e-16,1.249000902703301e-16,1.8041124150158794e-16,0.9999999999999982,3.538835890992686e-16,2.2898349882893854e-16,1.5959455978986623e-16
2015-09-30,NORMAL,dynamic,2015-09-30,0.0,0.01,0.0,0.0,4.218795626437704e-17,1.1212891730767242e-16,0.0,4.96435441112128e-17,0.0,7.833517533184987e-17,0.0,0.9065863963009002,5.448989717007823e-18,1.6032625125223996e-17,8.992976962818553e-17,0.0,5.4606904948294036e-17,1.6081906370664253e-17,0.0,1.2728400377152933e-17,0.0,4.97696202856503e-17,5.964889844702301e-17,1.1070642112348562e-17,7.246859673794692e-18,0.0934136036990991,2.0511781676206438e-17,1.5160647499705036e-16,1.855715039083867e-16,7.833517533184987e-17,0.9065863963009002,8.992976962818553e-17,7.068881131895829e-17,0.09341360369909911
2015-10-30,NORMAL,dynamic,2015-09-30,0.0,0.01,0.0,0.0,4.218795626437704e-17,1.1212891730767242e-16,0.0,4.96435441112128e-17,0.0,7.833517533184987e-17,0.0,0.9065863963009002,5.448989717007823e-18,1.6032625125223996e-17,8.992976962818553e-17,0.0,5.4606904948294036e-17,1.6081906370664253e-17,0.0,1.2728400377152933e-17,0.0,4.97696202856503e-17,5.964889844702301e-17,1.1070642112348562e-17,7.246859673794692e-18,0.0934136036990991,2.0511781676206438e-17,1.5160647499705036e-16,1.855715039083867e-16,7.833517533184987e-17,0.9065863963009002,8.992976962818553e-17,7.068881131895829e-17,0.09341360369909911
2015-11-30,NORMAL,dynamic,2015-11-30,0.0,0.01,0.0,2.0816681711721685e-17,2.0816681711721685e-17,0.0,7.63278329429795e-17,7.63278329429795e-17,0.0,1.5959455978986623e-16,1.8735013540549514e-16,0.999999999999998,0.0,7.63278329429795e-17,1.0408340855860844e-16,0.0,7.63278329429795e-17,1.3183898417423734e-16,1.3183898417423734e-16,7.63278329429795e-17,1.5959455978986623e-16,1.3183898417423734e-16,7.63278329429795e-17,1.0408340855860844e-16,7.63278329429795e-17,2.983724378680108e-16,4.8572257327350605e-17,2.498001805406602e-16,6.245004513516506e-16,3.4694469519536137e-16,0.9999999999999982,1.0408340855860844e-16,2.0816681711721685e-16,3.469446951953614e-16
2015-12-31,NORMAL,dynamic,2015-12-31,0.0,0.01,2.42861286636753e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-16,0.0,0.0,0.9999999999999998,0.0,0.0,0.0
2016-01-29,NORMAL,dynamic,2015-12-31,0.0,0.01,2.42861286636753e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-16,0.0,0.0,0.9999999999999998,0.0,0.0,0.0
2016-02-29,NORMAL,dynamic,2016-02-29,0.0,0.01,4.3715031594615544e-16,1.3183898417423734e-16,0.0,0.0,0.0,0.0,1.0408340855860844e-16,0.0,7.63278329429795e-17,0.9999999999999982,4.8572257327350605e-17,2.42861286636753e-16,1.8735013540549514e-16,7.63278329429795e-17,0.0,0.0,2.0816681711721685e-17,0.0,4.8572257327350605e-17,0.0,0.0,0.0,1.8735013540549514e-16,3.4694469519536136e-17,1.3183898417423734e-16,5.689893001203927e-16,6.938893903907228e-17,1.8041124150158794e-16,0.9999999999999987,1.8735013540549514e-16,7.63278329429795e-17,1.6653345369377348e-16
2016-03-31,CALM,dynamic,2016-03-31,0.0,0.01,4.0939474033052647e-16,1.8735013540549514e-16,0.0,7.63278329429795e-17,1.3183898417423734e-16,0.0,4.0939474033052647e-16,0.0,2.0816681711721685e-17,0.9999999999999956,2.42861286636753e-16,4.649058915617843e-16,3.538835890992686e-16,1.3183898417423734e-16,1.3183898417423734e-16,0.0,7.63278329429795e-17,5.204170427930421e-16,1.8735013540549514e-16,1.3183898417423734e-16,2.42861286636753e-16,2.42861286636753e-16,2.0816681711721685e-17,1.8735013540549514e-16,1.3183898417423734e-16,9.71445146547012e-16,1.2351231148954867e-15,4.3021142204224816e-16,0.9999999999999962,3.538835890992686e-16,2.636779683484747e-16,3.191891195797325e-16
