date,regime,weights_mode,q_noise,r_noise,subfactor_w_ev_ebitda,subfactor_w_fcf_yield,subfactor_w_earnings_yield,subfactor_w_roic,subfactor_w_net_debt_ebitda,subfactor_w_gross_margin,subfactor_w_rev_growth_ttm,subfactor_w_eps_growth_fy1,subfactor_w_rev_growth_ntm,subfactor_w_return_12m_ex1,subfactor_w_return_6m,subfactor_w_return_12m,subfactor_w_eps_revision_1m,subfactor_w_delta_roic,subfactor_w_delta_gross_margin,subfactor_w_delta_oper_margin,subfactor_w_gp_over_assets,subfactor_w_accruals,subfactor_w_piotroski_f_score,subfactor_w_ev_ebit,subfactor_w_book_to_price,subfactor_w_rd_intensity,subfactor_w_high52w_proximity,subfactor_w_market_beta_756d,subfactor_w_idiosyncratic_vol_63d,factor_w_value,factor_w_quality,factor_w_growth,factor_w_momentum,factor_w_revisions,factor_w_prof_momentum,factor_w_lowvol
2014-01-30,NORMAL,dynamic,0.0018093920031217,0.0344820584528151,0.1421556309217317,2.3990516126218442e-18,0.0,1.1990316273442158e-18,0.0,0.0103436773025556,0.1253137302647964,0.0,0.155559294920672,0.0401326272971318,0.1328122453319379,2.762700556338275e-18,0.0,0.0197272807685103,0.0549985053462248,3.50050590440317e-18,0.0,0.019739918808659,0.0,0.1814936238699448,0.0,1.5890367456767982e-11,0.0299515974548665,0.0,0.0877718676970783,0.3236492547916765,0.03008359612710497,0.2808730251854684,0.2028964700839362,0.0,0.0747257861147351,0.0877718676970783
2014-02-28,CALM,dynamic,0.0021935321991211,0.0204341430973067,0.1617957506338979,5.231452657943587e-19,0.0518973567401267,0.0329885640767119,2.816263262573553e-20,3.620661572845526e-19,0.0857778462106289,0.0231402047920597,0.0820396915977629,0.1099311101689699,0.0513706560415717,9.58391672999154e-19,0.0320114081264691,0.0732700366939853,0.0,4.702458004655509e-20,0.0948260178641745,0.0536009881806134,0.0607186222393795,0.0401108209888416,7.891344193485087e-19,3.966959585652439e-10,6.298084231659994e-20,1.1903098560732782e-19,0.0465209252481103,0.2538039283628662,0.24213419275757525,0.1909577426004515,0.1613017662105416,0.0320114081264691,0.0732700366939853,0.0465209252481103
2014-03-31,CALM,dynamic,0.0021935321991211,0.0204341430973067,0.1763579199927312,0.1614894858283716,0.0995179822814183,0.0,0.1417831407430035,1.4443211017505504e-18,2.5381291363296845e-18,3.77845992531641e-18,0.0228635281842638,7.484922173380806e-19,5.464699418048809e-18,0.0,2.32464328686389e-18,0.0729622383779382,0.0327768269540925,0.0,0.0241352431277812,0.0,0.0,2.8047316235388412e-18,0.1424308809386073,5.401857167716796e-19,0.0758999041257377,0.0376730892085157,0.0121097602375385,0.5797962690411285,0.1659183838707847,0.022863528184263807,0.0758999041257377,2.32464328686389e-18,0.1057390653320307,0.0497828494460542
2014-04-30,CALM,dynamic,0.0018545268692397,0.0219499561095942,0.086973857017862,0.0481604131240542,0.0053700481697107,0.0,0.0,0.0,0.0,0.0,0.0,0.1386734463576268,0.0,0.0,0.0,0.1613144185737775,0.0178972564053008,0.0,0.0453880186633045,0.0911177711758205,4.9792570644146656e-18,0.0663821475769781,0.1416043032234763,0.0,0.1263253059204653,0.0,0.070793013791623,0.3484907691120813,0.13650578983912498,0.0,0.2649987522780921,0.0,0.1792116749790783,0.070793013791623
2014-05-30,CALM,dynamic,0.0018545268692397,0.0219499561095942,0.086973857017862,0.0481604131240542,0.0053700481697107,0.0,0.0,0.0,0.0,0.0,0.0,0.1386734463576268,0.0,0.0,0.0,0.1613144185737775,0.0178972564053008,0.0,0.0453880186633045,0.0911177711758205,4.9792570644146656e-18,0.0663821475769781,0.1416043032234763,0.0,0.1263253059204653,0.0,0.070793013791623,0.3484907691120813,0.13650578983912498,0.0,0.2649987522780921,0.0,0.1792116749790783,0.070793013791623
2014-06-30,CALM,dynamic,0.0018545268692397,0.0219499561095942,4.0552502130805434e-18,0.0629079962268327,0.1063557427315794,0.0,0.0533250283108165,0.0514584235700894,0.0503003845898055,2.571445004197777e-19,0.0112860593862835,0.3270468915595062,0.0204428573552692,4.24742302926439e-19,0.0,0.14670644085229,0.0,1.527435413399249e-18,0.0,0.0997689199546788,7.626943790800053e-20,0.0704012546623967,1.5365296368775241e-18,8.004515814554208e-10,0.0,0.0,0.0,0.23966499362080879,0.20455237263603632,0.061586443976089,0.3474897489147754,0.0,0.14670644085229,0.0
2014-07-31,NORMAL,dynamic,0.0017976914522087,0.0298520028416383,0.0620778855948196,0.0586775360973899,0.0,0.0749717446604073,1.84590248252371e-18,6.132782953308057e-18,0.0,0.0,0.04523979704425,0.4995832329709703,0.0,0.0,0.0,0.0048211680145175,0.0604051015349376,0.0,0.0004412832568806,0.0147812383000342,0.0123484074985918,0.0191230111466349,0.1281844095593002,3.0649829490483076e-17,7.522381637370156e-18,0.0,0.0193451843212655,0.2680628423981446,0.10254267371591393,0.04523979704425,0.4995832329709703,0.0,0.0652262695494551,0.0193451843212655
2014-08-29,CALM,dynamic,0.0017976914522087,0.0298520028416383,0.0620778855948196,0.0586775360973899,0.0,0.0749717446604073,1.84590248252371e-18,6.132782953308057e-18,0.0,0.0,0.04523979704425,0.4995832329709703,0.0,0.0,0.0,0.0048211680145175,0.0604051015349376,0.0,0.0004412832568806,0.0147812383000342,0.0123484074985918,0.0191230111466349,0.1281844095593002,3.0649829490483076e-17,7.522381637370156e-18,0.0,0.0193451843212655,0.2680628423981446,0.10254267371591393,0.04523979704425,0.4995832329709703,0.0,0.0652262695494551,0.0193451843212655
2014-09-30,NORMAL,dynamic,0.0017976914522087,0.0298520028416383,0.0901962150081082,0.197175737041488,0.0,0.0142815946111793,0.0407335757036585,0.0,0.0,1.459354184302051e-18,2.559182877891902e-19,0.3095899173852335,0.007786663366062,0.0,9.43209938395969e-19,6.060198724847733e-19,0.063989164213877,0.0,0.0641065781855309,1.2823921739629222e-18,8.723327388895397e-19,0.0290971640573034,0.0,2.2629528690456944e-58,0.0,0.1213745943931942,0.0616687960343644,0.3164691161068996,0.11912174850036869,1.7152724720912411e-18,0.3173765807512955,9.43209938395969e-19,0.063989164213877,0.1830433904275586
2014-10-31,CALM,dynamic,0.0016935925097002,0.0323288683247294,0.0396888805604433,0.0809046365130371,0.0,0.0480806442905437,4.1769693861461966e-18,3.6261292722005964e-19,0.0225308121617449,0.0,0.0336893744876913,0.4540226764841184,2.17176031782392e-18,0.0,0.0445127204746303,2.1745158848437593e-19,0.1141729696361354,0.0040719552052533,0.0605041691153657,0.0055205533875185,1.3260092509314525e-18,7.804291224071711e-21,0.0,3.3654527484654934e-09,0.0445998678417775,0.0156138720151212,0.0320868644611658,0.1205935170734804,0.11410537015888066,0.0562201866494362,0.4986225443258959,0.0445127204746303,0.1182449248413887,0.047700736476287
